cantonese,english,greedy,beam
呢個問題擺埋一邊先。,That problem has been shelved for the time being.,Un problème est enterré d’abord.,問題を先に埋め込む。
呢個問題等下次開會先傾。,The matter will be brought up at the next meeting.,"Қазір қазір қарағанда, қаңтардан қараған проблемасы.",問題は次回の開会式を待つ。
呢個問題關你事多過關我事。,The problem has more to do with you than with me.,Un problème qui concerne plus que moi.,En fråga om dig mer om mig.
呢樣嘢遲啲先搞。,Let's leave that matter for later.,Қазір бұл қазір де ұрпаққа келді.,Қазіргі таңда бүкіл әлем қаржылық дағдарыста.
呢樣等遲啲先。,Let's leave that matter for later.,Öncəki xəbərlər »,Əvvəlki xəbərlər » Gələcək
棵樹生得好高喎。,The tree grew very tall.,Өзiңiздiкiнiмiрiпiшiлi.,Ağaclar çox gözəldir.
你有冇睇晒成本書呀？,Did you read the whole book?,Қандай да бір құбырды?,Қазіргі уақытта бір-қатынас келдім?
唔好意思呀，呢本書賣晒㗎喇。,"Sorry, the book is out of stock.","Бұл тек тек, ол да бір тек қанаққап тұрады.",Bu kitabın satışa çıxarılması üçün çox faydalıdır.
嗰本書有好多版。,That book had a lot of pages.,Ce livre a de nombreuses versions.,Este livro tem muitas versões.
唔好挨埋埲牆度。,Don't lean against the wall.,"Не күлеріңді, қалыңдар да салысты.",Не күлеріңді қалыңды.
呢種物質好輕，可以浮喺水面。,The substance is light enough to float on the water.,"Бұл материалдық материалды жоғары, жоғары және жоғары.",Bahan-bahan ini sangat ringan dan dapat mengalir di permukaan air.
你做咩唔試吓條裙先買嘅？,Why didn't you try the dress on before you bought it?,Бұл қазір мен қаңтар мен жарыққа қазаға болады?,Қазіргі уақытта бір-бірілген ұзақ уақытқа келдім?
間房有無浴缸㗎？,Does the room have a bath?,Қандай баспанасы бар?,間房間有沒有浴缸 chắc chắn?
間房冇傢俬。,The room was devoid of furniture.,Қазір бізге қазір.,Қаланың тұрақты тұрғындары.
你直接撕開個箱咪得囉。,You can tear the box open.,Қайтаққа қанақтықты бар.,Anda langsung menghancurkan kotak.
嗰個箱細得濟喇，擺唔落呢度咁多嘢。,That is too small a box to hold all these things.,"Бұл қағидалар мен қаһарманның дағдырып, қаңтарда дақды.",Қазіргі уақытта бір-бірімен қазандық қазасы бар.
天氣每日都喺度變緊。,The weather varies from day to day.,Le temps change de plus en plus chaque jour.,Počasí se každým dnem prudce zhoršuje.
個阿哥同個細佬一啲都唔似樣。,The two brothers are quite unlike in their appearance.,Бұл қазір мен қағидалар мен басқа да қасымды.,Өзiмiрдiкiнiгiшiлiпiтiң бiсiзздaзды.
嗰班人成功噉爬咗上山頂，但係返嚟嗰陣就出咗事。,"The Alpinists carried out the ascent, but they did not return safely.","Қаланың тұрақты тұрғындарының саны 1 адамды құрайды, 1 жыл бұрынғы құрамды.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
你掂嗰條電線就會觸電㗎喇。,"If you touch that wire, you will receive a shock.",Қазіргі таңда бұл электростанциясы да салыстырылған.,Қазіргі уақытта мұрақтық қағидалар бар.
單消息令佢驚訝到唔識講嘢。,"Shocked at the news, she couldn't speak.",Bu barədə xəbərlər xəbərdarlıqla görüşməyəcək.,"Bu xəbər onu şaşırdıq ki, heç bir şey bilmədik."
佢有可能係俾人謀殺嘅。,There's a possibility that the man was murdered.,"Bu barədə xəbər verir ki, bu barədə “Müslərin öldürülmesi mümkündür.","O, insanı öldürmək mümkündür."
個人嘗試裝自己條天線。,The man tried to install his own antenna.,Қазір салықты ұзақтығы ұсынады.,Қазіргі уақытта өңдеуге қарастырылған.
嗰個男人搶走咗Susan身上所有嘅錢。,The man robbed Susan of all her money.,Бұл жерде бір адамға келді.,Қазіргі уақытта «Атлант» АҚШ-қаның бір-бірімен кеңінен танымал.
我唔係好肯定呢個字應該點讀。,I am not sure how to pronounce the word.,Je ne suis pas sûr que les mots doivent être lu.,Je ne suis pas sûr que les mots devraient être lu.
啲噪音愈嚟愈大聲。,The noise is getting louder and louder.,Le bruit est de plus en plus fort.,Le bruit est de plus en plus bruyant.
嗰場仗死咗好多人。,"As a result of the war, many people died.",Әскери жерде өте көп айтылады.,Bir çox insan ölüb.
你有冇試過喺條河度溜冰呀？,Have you ever tried skating on the river?,Бұл қазір айтылатын айқындату үшін ұлыстыр?,Қазіргі уақытта өңдеуге келдім?
個老師對班學生影響好大。,The teacher has a great influence on his pupils.,En lærer påvirker elevene veldig godt.,Учитель очень сильно влияет на студентов.
呢兩個學生測驗都係全部合格。,Both those students passed all the tests.,İki nəfərin hər birinin sınavına layiq görülür.,Hər iki öğrenci sınavına layiq görülür.
個學生俾個老師望到周身唔自在。,The student became very nervous with the teacher watching him.,Seorang siswa mungkin seorang guru melihat sekelilingnya tidak ada.,Oppilaat näkevät lähes yksittäisen opettajan ympärillään.
唔係好多人有嚟。,There were not many present.,Beaucoup de gens ont des rapports.,Beaucoup d’entre eux n’en parlent pas.
個城堡改造咗做一間好靚嘅博物館。,The castle was transformed into a marvelous museum.,Бұл да салықты да көптеген жылдардан тұрады.,Қазіргі уақытта «Музей» және «Былылық музей» бағдарламасымен танысты.
隻大笨象好受小朋友歡迎。,The elephant is liked by little children.,Өзiмiздiң өнерінің тұрады.,"Өйткені, балаларынан тұрып қарап тұрады."
嗰個男仔連自己個名都唔識寫。,The boy could not so much as write his own name.,Оның үстіне бұл идеялар да не айтасыз.,Bir adamın adı yazılmamalıdır.
個男仔連襪都未除就走咗去瞓覺。,The boy went to bed with his socks on.,Жүктеуге қазандық қазасы да неге қарап отыр.,Қазіргі уақытта маңызынан қарастырып қарап тұрады.
我好後悔以前無好好咁對佢。,I wish I had treated the girl more kindly.,Je regrette que je n'ai pas été bien avec elle.,Jag ångrar att det inte var bra mot henne innan.
個女仔同佢阿媽好似樣。,The girl resembles her mother.,Бұл жануарлар мен мамаға айтылады.,അമ്മയെപ്പോലെ ഒരു പെൺകുട്ടി.
間屋仔睇落好似冇人住噉。,The cottage looked as if nobody were living in it.,"Бұл қазір, қаңтарда қазанда да салыстырды.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
嗰位小姐喺一個月之前搬咗嚟呢度。,The lady moved here a month ago.,Бұл үшін бір жылдан кейін бір күнге дейін өнерілген.,ഒരു മാസം മുമ്പ് പെൺകുട്ടിയെ എടുത്തു.
個女仔一見到隻狗就喊咗出嚟。,The girl began to cry at the sight of a dog.,"Жүктеудің қанақтардан тұрады, ол да салыстырды.",Qadınlar qövmünü görüblər və qulağa bağırdılar.
架車泊咗喺座大廈前面。,The car is parked in front of the building.,Қазір салықтың салыстырдың сатыстыра.,Қазіргі уақытта Автомобильда орналасқан.
呢個問題好難答。,The question was too difficult to answer.,Ауыздан тұрады.,Une question bien répondu.
個鐘每日都會快五分鐘。,The clock gains five minutes a day.,"Chaque jour, les heures sont de 5 minutes.","Chaque jour, il y a environ cinq minutes."
我嗰陣時唔知點做先好。,I didn't know what to do then.,Менің бірінші сүйікті жарыққа не айтылады.,Jag visste inte att jag kunde göra det bättre först.
因為佢唔小心，所以先會出事。,The accident was brought about by his carelessness.,"Parce qu’il n’est pas prudent, il se passe d’abord.","Parce qu’il n’est pas prudent, il se passe tout d’abord."
出事嗰陣巴士上面啲乘客差唔多全部都瞓晒覺。,Almost all of the passenger in the bus were asleep when the accident happened.,"Бұл аяқталған автобус, бұл аяқтың аясында аяғымен танымал.","По сообщениям, на автобусе почти все пассажиры были зафиксированы."
你千祈唔好講呢件事俾你阿爸阿媽聽。,You mustn't tell that to your parents.,"Қайтақтың да, ол табының да да айтылады.","Қандай-ақ, қағидалар мен қаһарманның дағдарысталары бар."
佢為件玩具而好自豪。,He is very proud of his toy.,Il est fier de ses jouets.,Hon är stolt över sina leksaker.
